Supplier_ID,Quality_Score,Delivery_Rating,Cost_Competitiveness,Financial_Health,Technical_Capacity,ESG_Compliance,ERP_Integration,Track_Record
SUP-355,7.7,6.4,4.8,9.0,8.9,7.9,6.0,6.8
SUP-356,5.2,2.9,7.5,7.8,4.7,8.3,6.3,7.4
SUP-357,6.6,6.4,4.4,7.1,5.8,8.6,4.4,6.5
SUP-358,6.8,7.0,6.3,7.7,6.6,6.4,7.4,5.4
SUP-359,7.2,6.0,5.1,5.4,8.4,9.0,5.4,7.2
SUP-360,6.1,5.9,6.4,8.0,6.3,7.5,6.2,7.4
SUP-361,7.9,7.8,5.3,6.3,7.3,7.3,5.8,6.6
SUP-362,8.5,9.9,3.2,5.9,9.0,6.8,5.3,4.4
SUP-363,7.6,7.0,5.1,5.7,6.5,6.7,6.5,6.6
SUP-364,8.5,6.6,7.0,8.8,9.2,7.1,6.2,8.4
